id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
07twUUK8jWUCVsrSoEgbLW,0.741,0.678,0.08333333333333333,0.09725,1.0,0.355,0.0204,0.0,0.0782,0.718
3calQ6T24KiVOWlRKr7rfl,0.698,0.572,0.16666666666666666,0.12891666666666668,1.0,0.198,0.135,0.0,0.154,0.391
0XkmeG97T4mtYlWRJcrxec,0.752,0.375,0.5,0.16928333333333334,0.0,0.204,0.533,0.0,0.175,0.591
0Tcw8w9pvPrZoORgxsNASW,0.773,0.742,0.4166666666666667,0.09088333333333334,0.0,0.162,0.00198,0.0,0.558,0.35
341lTIxmhybbQsgydwJiFx,0.796,0.683,0.8333333333333334,0.08608333333333333,0.0,0.277,0.0111,2.58e-06,0.126,0.737
4dngUamfm6p0w111i1zyT2,0.658,0.823,0.08333333333333333,0.058366666666666664,1.0,0.16,0.0103,0.0,0.0801,0.232
5XL6XvBMX6iepWkxpTlVhk,0.67,0.615,0.5,0.11376666666666665,0.0,0.286,0.00401,0.0,0.0995,0.214
4FFC7McrnnwAWKbAqbckTP,0.784,0.586,0.8333333333333334,0.0858,1.0,0.057,0.159,0.0,0.183,0.824
5f4TAyNRqDrxAOGzabEaXZ,0.793,0.5,0.08333333333333333,0.13885,0.0,0.367,0.0623,0.0,0.0983,0.496
6ZPU73akrp4hU6Ua2jSjtI,0.849,0.622,0.5,0.12121666666666667,1.0,0.325,0.579,0.0,0.193,0.802
4ORS4GRSrEKUvqeJwYUmBl,0.863,0.381,0.3333333333333333,0.24488333333333331,0.0,0.0983,0.116,0.0,0.145,0.858
0Fj6RDRRfQUzAf3LkrFJJm,0.637,0.865,0.5833333333333334,0.07398333333333333,1.0,0.393,0.297,0.0,0.17,0.656
2jZx9wy7JVYYF2Yxe6fUNl,0.786,0.739,0.08333333333333333,0.058499999999999996,1.0,0.286,0.34,0.0,0.18,0.297
6O7fPYTsb2mY0PiFt2ymDB,0.713,0.605,0.9166666666666666,0.12478333333333333,1.0,0.107,0.497,3.46e-06,0.115,0.432
01RgdpK4BiCLscCwQJl8gy,0.889,0.594,0.0,0.11978333333333334,1.0,0.268,0.179,0.0,0.295,0.845
6QlN5nbmCtt0I39s19lx8q,0.847,0.521,0.5,0.119,0.0,0.0428,0.187,0.0,0.128,0.373
2rJpjzqakqUB30qCk4uPM9,0.896,0.657,0.5833333333333334,0.10278333333333332,0.0,0.33,0.0141,0.0,0.0974,0.706
4qMlF2uBW2PtGSEMHPcNnZ,0.812,0.628,0.8333333333333334,0.10213333333333334,0.0,0.0327,0.0467,1.65e-06,0.226,0.506
1EWkw4Fa6IlnsAihLUlFFM,0.389,0.768,0.08333333333333333,0.07941666666666666,1.0,0.256,0.038,0.0,0.119,0.334
3SUiKUnZlKYliid0ZlCmUY,0.793,0.497,0.0,0.17013333333333333,1.0,0.317,0.209,0.0,0.223,0.251
6s4E8J1rtwsztOEPCLfSYr,0.789,0.733,0.5,0.06876666666666667,0.0,0.3,0.107,0.0,0.193,0.64
2dMvqE5MHPH7Ksd5pQqFmL,0.636,0.799,0.16666666666666666,0.07446666666666667,1.0,0.261,0.0736,0.0,0.115,0.39
6wNTA8EAPfrZ4CdS0rKjL9,0.839,0.611,0.25,0.08266666666666667,0.0,0.103,0.0169,0.0,0.111,0.532
7B8kWwZV0jVhvsSNDorcWf,0.863,0.626,0.5833333333333334,0.10533333333333333,1.0,0.359,0.00936,0.0,0.0946,0.705
2Bm22X2P7GTNG6nn0cE4gh,0.657,0.468,0.8333333333333334,0.13526666666666667,0.0,0.595,0.0994,0.0,0.125,0.627
0qI2Zclmx79YzOREH3UCtr,0.744,0.648,0.5,0.14433333333333334,0.0,0.0623,0.0517,0.0,0.174,0.523
6deHPX54K1g8DliIPMoJyv,0.658,0.536,0.8333333333333334,0.11436666666666667,1.0,0.326,0.13,0.0,0.118,0.292
4g4lqloGLEJf6OUO2omcd0,0.866,0.797,0.08333333333333333,0.11026666666666667,1.0,0.417,0.0225,0.0,0.0851,0.668
2wwBp7bMHqlyCXxGLSE1BG,0.795,0.616,0.16666666666666666,0.06688333333333334,1.0,0.239,0.367,1.14e-06,0.0907,0.655
6YIHCgaDKTmyRH1yUXUKSE,0.73,0.581,0.08333333333333333,0.13386666666666666,0.0,0.44,0.314,0.0,0.141,0.156
6zsPaeGXa4UxM3EBzlFyjN,0.582,0.639,0.75,0.14048333333333335,1.0,0.37,0.484,0.0,0.0987,0.508
3KvuTDpNv6DHuR05MbPzND,0.591,0.773,0.3333333333333333,0.060250000000000005,0.0,0.0954,0.000917,0.0,0.421,0.202
0Zc86nmtzsx3Tlzv7sC8Pc,0.86,0.583,0.08333333333333333,0.1133,1.0,0.143,0.0172,0.0,0.124,0.413
1J7AXw2GvjVPAmPig2v9xU,0.697,0.432,0.5,0.15775,0.0,0.0963,0.263,0.0,0.0938,0.382
6hLZzCS4E7AWo3PRBWy6az,0.926,0.762,0.08333333333333333,0.03145,1.0,0.205,0.000718,0.0,0.117,0.277
7l0Ne1V1FMkI3kvQPbkRLX,0.538,0.49,0.3333333333333333,0.14843333333333333,0.0,0.291,0.247,0.0,0.0969,0.425
