danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
0.761,0.518,0.0,0.14785,1.0,0.134,0.244,3.47e-05,0.107,0.522
0.874,0.443,0.4166666666666667,0.16046666666666667,0.0,0.241,0.147,0.0,0.124,0.298
0.614,0.553,0.5833333333333334,0.13708333333333333,1.0,0.169,0.0306,0.0,0.203,0.161
0.881,0.517,0.3333333333333333,0.1486,1.0,0.308,0.0115,0.0,0.151,0.786
0.823,0.586,0.5,0.1101,0.0,0.2,0.114,0.0,0.193,0.347
0.695,0.343,0.4166666666666667,0.17996666666666666,1.0,0.0432,0.0743,1.04e-06,0.107,0.229
0.904,0.723,0.9166666666666666,0.08706666666666667,0.0,0.26,0.0631,0.0,0.185,0.835
0.935,0.454,0.08333333333333333,0.12515,1.0,0.375,0.0194,0.0,0.0824,0.357
0.8,0.56,0.4166666666666667,0.0803,0.0,0.261,0.057,0.0,0.134,0.45
0.747,0.622,0.9166666666666666,0.09708333333333334,1.0,0.0838,0.176,0.0,0.151,0.57
0.49,0.618,0.08333333333333333,0.09425,1.0,0.104,0.0221,3.77e-06,0.259,0.286
0.799,0.66,0.08333333333333333,0.10254999999999999,0.0,0.079,0.256,0.0,0.111,0.471
0.801,0.596,0.08333333333333333,0.07866666666666666,1.0,0.0534,0.00301,0.0,0.162,0.134
0.816,0.579,0.08333333333333333,0.10161666666666667,1.0,0.0867,0.203,0.0,0.127,0.43
0.877,0.607,0.8333333333333334,0.1303,0.0,0.15,0.535,0.0,0.138,0.773
0.752,0.673,0.8333333333333334,0.09653333333333333,0.0,0.153,0.0538,0.0,0.133,0.35
0.863,0.626,0.5833333333333334,0.10533333333333333,1.0,0.359,0.00936,0.0,0.0946,0.705
0.943,0.641,0.08333333333333333,0.0933,1.0,0.191,0.0016,0.0,0.211,0.242
0.825,0.458,0.0,0.1245,1.0,0.0577,0.114,0.0,0.102,0.161
0.688,0.647,0.16666666666666666,0.12096666666666667,1.0,0.19,0.00815,1.65e-05,0.095,0.195
0.926,0.542,0.08333333333333333,0.0844,1.0,0.293,0.135,0.0,0.0877,0.564
0.746,0.69,0.9166666666666666,0.1326,1.0,0.164,0.247,0.0,0.101,0.497
0.904,0.672,0.08333333333333333,0.10906666666666666,1.0,0.197,0.00382,3e-06,0.138,0.398
0.868,0.638,0.16666666666666666,0.12910000000000002,1.0,0.0736,0.146,0.0565,0.0931,0.459
0.783,0.479,0.5833333333333334,0.17743333333333336,1.0,0.541,0.149,0.0,0.101,0.533
0.945,0.662,0.5,0.10968333333333334,1.0,0.24,0.0326,1.17e-05,0.124,0.782
0.694,0.685,0.5,0.10891666666666668,0.0,0.133,0.224,0.0,0.124,0.306
0.752,0.313,0.0,0.32893333333333336,1.0,0.414,0.136,0.0,0.119,0.514
0.406,0.524,0.4166666666666667,0.18451666666666666,1.0,0.255,0.469,3.95e-06,0.117,0.412
0.61,0.569,0.8333333333333334,0.15744999999999998,0.0,0.345,0.0398,0.0,0.337,0.287
0.837,0.482,0.6666666666666666,0.1434666666666667,0.0,0.365,0.268,0.0,0.0991,0.444
0.764,0.54,0.08333333333333333,0.14550000000000002,0.0,0.225,0.243,0.0,0.0846,0.54
0.809,0.68,0.3333333333333333,0.08138333333333334,1.0,0.222,0.0535,1.2e-06,0.11,0.0653
0.954,0.696,0.8333333333333334,0.11861666666666666,0.0,0.204,0.00576,0.000498,0.0754,0.432
0.709,0.679,0.9166666666666666,0.10838333333333333,0.0,0.346,0.0115,0.0,0.0971,0.754
0.701,0.65,0.5,0.10521666666666667,1.0,0.104,0.291,0.0,0.112,0.647
0.68,0.826,0.4166666666666667,0.04268333333333333,1.0,0.27,0.562,0.0,0.254,0.804
0.691,0.632,0.08333333333333333,0.12663333333333332,1.0,0.0513,0.122,0.0,0.0646,0.488
0.821,0.863,0.5,0.052649999999999995,1.0,0.353,0.00824,0.0,0.0377,0.874
0.714,0.436,0.4166666666666667,0.14896666666666666,0.0,0.322,0.439,0.0,0.121,0.535
0.941,0.463,0.6666666666666666,0.09988333333333334,1.0,0.113,0.0247,5.53e-05,0.192,0.312
0.852,0.745,0.9166666666666666,0.061116666666666666,0.0,0.171,0.0313,0.0,0.0824,0.897
0.929,0.667,0.6666666666666666,0.11315,0.0,0.353,0.0185,0.0,0.1,0.274
0.59,0.618,0.08333333333333333,0.09593333333333334,1.0,0.334,0.0127,0.0,0.244,0.153
0.741,0.678,0.08333333333333333,0.09725,1.0,0.355,0.0204,0.0,0.0782,0.718
0.698,0.572,0.16666666666666666,0.12891666666666668,1.0,0.198,0.135,0.0,0.154,0.391
0.752,0.375,0.5,0.16928333333333334,0.0,0.204,0.533,0.0,0.175,0.591
0.773,0.742,0.4166666666666667,0.09088333333333334,0.0,0.162,0.00198,0.0,0.558,0.35
0.796,0.683,0.8333333333333334,0.08608333333333333,0.0,0.277,0.0111,2.58e-06,0.126,0.737
0.658,0.823,0.08333333333333333,0.058366666666666664,1.0,0.16,0.0103,0.0,0.0801,0.232
0.67,0.615,0.5,0.11376666666666665,0.0,0.286,0.00401,0.0,0.0995,0.214
0.784,0.586,0.8333333333333334,0.0858,1.0,0.057,0.159,0.0,0.183,0.824
0.793,0.5,0.08333333333333333,0.13885,0.0,0.367,0.0623,0.0,0.0983,0.496
0.849,0.622,0.5,0.12121666666666667,1.0,0.325,0.579,0.0,0.193,0.802
0.863,0.381,0.3333333333333333,0.24488333333333331,0.0,0.0983,0.116,0.0,0.145,0.858
0.637,0.865,0.5833333333333334,0.07398333333333333,1.0,0.393,0.297,0.0,0.17,0.656
0.786,0.739,0.08333333333333333,0.058499999999999996,1.0,0.286,0.34,0.0,0.18,0.297
0.713,0.605,0.9166666666666666,0.12478333333333333,1.0,0.107,0.497,3.46e-06,0.115,0.432
0.889,0.594,0.0,0.11978333333333334,1.0,0.268,0.179,0.0,0.295,0.845
0.847,0.521,0.5,0.119,0.0,0.0428,0.187,0.0,0.128,0.373
0.896,0.657,0.5833333333333334,0.10278333333333332,0.0,0.33,0.0141,0.0,0.0974,0.706
0.812,0.628,0.8333333333333334,0.10213333333333334,0.0,0.0327,0.0467,1.65e-06,0.226,0.506
0.389,0.768,0.08333333333333333,0.07941666666666666,1.0,0.256,0.038,0.0,0.119,0.334
0.793,0.497,0.0,0.17013333333333333,1.0,0.317,0.209,0.0,0.223,0.251
0.789,0.733,0.5,0.06876666666666667,0.0,0.3,0.107,0.0,0.193,0.64
0.636,0.799,0.16666666666666666,0.07446666666666667,1.0,0.261,0.0736,0.0,0.115,0.39
0.839,0.611,0.25,0.08266666666666667,0.0,0.103,0.0169,0.0,0.111,0.532
0.863,0.626,0.5833333333333334,0.10533333333333333,1.0,0.359,0.00936,0.0,0.0946,0.705
0.657,0.468,0.8333333333333334,0.13526666666666667,0.0,0.595,0.0994,0.0,0.125,0.627
0.744,0.648,0.5,0.14433333333333334,0.0,0.0623,0.0517,0.0,0.174,0.523
0.658,0.536,0.8333333333333334,0.11436666666666667,1.0,0.326,0.13,0.0,0.118,0.292
0.866,0.797,0.08333333333333333,0.11026666666666667,1.0,0.417,0.0225,0.0,0.0851,0.668
0.795,0.616,0.16666666666666666,0.06688333333333334,1.0,0.239,0.367,1.14e-06,0.0907,0.655
0.73,0.581,0.08333333333333333,0.13386666666666666,0.0,0.44,0.314,0.0,0.141,0.156
0.582,0.639,0.75,0.14048333333333335,1.0,0.37,0.484,0.0,0.0987,0.508
0.591,0.773,0.3333333333333333,0.060250000000000005,0.0,0.0954,0.000917,0.0,0.421,0.202
0.86,0.583,0.08333333333333333,0.1133,1.0,0.143,0.0172,0.0,0.124,0.413
0.697,0.432,0.5,0.15775,0.0,0.0963,0.263,0.0,0.0938,0.382
0.926,0.762,0.08333333333333333,0.03145,1.0,0.205,0.000718,0.0,0.117,0.277
0.538,0.49,0.3333333333333333,0.14843333333333333,0.0,0.291,0.247,0.0,0.0969,0.425
0.975,0.535,0.4166666666666667,0.12233333333333334,1.0,0.265,0.0488,3.22e-05,0.118,0.843
0.862,0.673,0.4166666666666667,0.15185,1.0,0.3,0.277,0.0,0.101,0.801
0.84,0.515,0.9166666666666666,0.17541666666666667,0.0,0.363,0.628,0.0,0.0732,0.818
0.775,0.501,0.08333333333333333,0.12446666666666667,1.0,0.0711,0.00059,0.0,0.101,0.115
0.469,0.733,0.5,0.10571666666666667,0.0,0.404,0.397,0.0,0.095,0.655
0.696,0.672,0.5,0.09175,0.0,0.0875,0.131,0.0,0.368,0.581
0.689,0.658,0.08333333333333333,0.12561666666666665,1.0,0.748,0.0794,0.0,0.235,0.689
0.867,0.616,0.4166666666666667,0.09008333333333333,0.0,0.169,0.292,0.0,0.253,0.495
0.752,0.597,0.5833333333333334,0.11756666666666667,1.0,0.367,0.033,0.0,0.104,0.617
